number,value,datetime_start,datetime_complete,duration,params_svc_c,params_svc_kernel,state
0,0.7500000000000001,2021-02-05 19:29:51.369699,2021-02-05 19:29:51.394366,0 days 00:00:00.024667000,1.0,rbf,COMPLETE
1,0.15384615384615385,2021-02-05 19:29:51.395310,2021-02-05 19:29:51.427685,0 days 00:00:00.032375000,0.1,sigmoid,COMPLETE
2,0.7291666666666666,2021-02-05 19:29:51.428618,2021-02-05 19:29:51.453020,0 days 00:00:00.024402000,1.0,poly,COMPLETE
3,0.15384615384615385,2021-02-05 19:29:51.454012,2021-02-05 19:29:51.491612,0 days 00:00:00.037600000,0.1,sigmoid,COMPLETE
4,0.7303370786516854,2021-02-05 19:29:51.494283,2021-02-05 19:29:51.530801,0 days 00:00:00.036518000,0.1,rbf,COMPLETE
5,0.15384615384615385,2021-02-05 19:29:51.532250,2021-02-05 19:29:51.568068,0 days 00:00:00.035818000,0.1,sigmoid,COMPLETE
6,0.7303370786516854,2021-02-05 19:29:51.569274,2021-02-05 19:29:51.603329,0 days 00:00:00.034055000,0.1,rbf,COMPLETE
7,0.35443037974683544,2021-02-05 19:29:51.604645,2021-02-05 19:29:51.640527,0 days 00:00:00.035882000,1.0,sigmoid,COMPLETE
8,0.7461139896373058,2021-02-05 19:29:51.641543,2021-02-05 19:29:51.668116,0 days 00:00:00.026573000,0.1,poly,COMPLETE
9,0.3592814371257485,2021-02-05 19:29:51.669001,2021-02-05 19:29:51.697319,0 days 00:00:00.028318000,10.0,sigmoid,COMPLETE
